Date;Economic Policy Uncertainty;Monetary policy;Fiscal Policy (Taxes OR Spending);Taxes;Government spending;Health care;National security;Entitlement programs;Regulation;Financial Regulation;Trade policy;Sovereign debt or currency crises
01/06/1997;75.94349581;54.07790851;62.08396321;58.27914328;58.66895743;46.21174601;51.97455841;68.10547345;119.7714734;81.88615453;68.95702922;45.42719877
01/07/1997;57.1136192;24.04670856;46.85554604;51.08278607;41.09279799;76.17533591;48.32934199;57.2427652;67.3510508;6.922099944;89.93560231;30.72085745
01/08/1997;66.42318316;75.88222824;64.4428606;62.3746508;55.87231763;50.71759481;43.94370302;79.72912759;82.55296403;6.6570678;134.5433659;103.4061794
01/09/1997;47.76498995;16.57450987;42.51751993;46.78543716;27.17721236;42.14436223;26.12264109;81.39509971;60.78866897;6.638119441;114.9946355;14.73026414
01/10/1997;72.45949887;80.45110452;46.86519612;48.35287713;21.13893753;37.27996973;30.07317756;76.2152366;73.00981836;42.52089765;100.8447973;283.0669405
01/11/1997;78.51168233;53.72140119;51.92206763;57.01896001;26.31168468;29.92158948;66.89797779;32.98724583;68.66148179;38.56026953;180.9150491;313.7451082
01/12/1997;61.67232735;59.10262712;47.74205257;51.66913682;13.42736353;40.25613391;42.46600442;46.76119998;81.34120246;59.03416255;66.28422913;858.7729986
01/01/1998;107.5783743;120.8020118;88.90591978;94.38953112;129.6051226;139.4015223;68.19408963;202.425324;117.1290687;63.95244057;69.24200879;1490.08792
01/02/1998;84.99236179;137.3872052;61.08514742;62.96170018;64.08444089;63.43231691;54.96023434;129.1571776;50.83012966;33.30388485;43.27017765;1492.834756
01/03/1998;69.38604828;54.35452969;88.93704807;90.44539372;58.56791282;50.45704591;35.56287353;83.28551618;60.26995457;29.80290954;38.72152442;383.576622
01/04/1998;67.67870712;56.65689446;69.71082747;73.23370426;43.43853314;50.97603317;53.14675646;86.67706328;44.86046474;11.47026821;74.51391112;381.7950594
01/05/1998;64.06512808;60.9189276;46.11380867;44.02819494;41.99622673;25.53904595;65.10746076;30.97125126;65.61644464;18.10184157;108.88368;415.0770015
01/06/1998;65.60018174;58.82242092;70.4250657;77.02026494;21.12738006;66.89059535;36.02954819;93.81034433;41.84186788;19.35160841;55.87252975;458.0482864
01/07/1998;66.03146586;83.19637325;59.46769809;67.22145393;19.44788318;30.82848858;44.2205607;39.73366726;48.33342308;63.33608698;45.71645066;758.9452726
01/08/1998;115.5147302;146.0987999;60.52774251;63.6905597;42.88316007;41.64643722;105.5661333;65.16737592;67.82149406;44.43662142;41.23887202;802.9404168
01/09/1998;149.5518044;239.2139406;104.249081;107.5966508;102.7448094;94.5610351;110.3353965;200.7237538;79.40748395;30.60456372;66.27179358;923.6141403
01/10/1998;112.1464394;157.4840303;98.10410959;103.7112399;86.51602901;78.56362855;59.45100323;114.0033963;79.54157799;22.84520184;74.20425174;342.1875815
01/11/1998;95.782708;148.7490797;57.80821206;60.82892288;31.02758048;56.45519317;48.48740359;77.7992316;62.46088688;24.25146862;74.3957713;174.8988189
01/12/1998;82.45076375;87.63404598;55.1113331;57.59503403;21.77680328;63.56671419;53.22313923;117.7725379;63.2743308;43.80396233;67.7529006;166.6334073
01/01/1999;87.77779816;109.7778719;114.7834332;119.2840386;98.57290751;128.65666;62.65589089;235.1489471;76.93941271;54.17266979;69.51507401;400.7047187
01/02/1999;62.55172892;37.1589174;50.27196516;51.69566246;36.28566421;77.61249572;50.4348709;115.0365654;51.3093178;18.33700842;75.00279157;67.81764521
01/03/1999;54.81170068;49.21654488;45.07001322;48.59393209;20.37191373;36.27140146;37.89950699;52.02692461;50.62989715;16.58634629;119.7214602;49.07439304
01/04/1999;47.56157168;34.72728771;46.15798548;50.2572444;35.61391822;27.31676197;47.73240791;38.40822142;44.96906296;22.44854538;52.6614536;199.2570371
01/05/1999;48.31810249;30.15064845;29.10928528;29.93773342;20.46733092;15.28183048;55.00013892;30.09519759;44.50865609;27.77338797;24.0564414;98.60849161
01/06/1999;50.56334961;58.49943254;43.96254502;47.62784185;29.09266837;56.3933829;37.58571328;57.41245572;36.15170442;29.60823161;59.84002655;39.42114113
01/07/1999;70.32283475;89.19775326;77.87356973;84.79380535;137.945018;153.8684573;57.77931269;198.9015044;28.19341357;5.911141004;51.20045755;78.70241182
01/08/1999;52.9488341;77.38758338;44.77192533;50.05158171;47.07297482;48.66480236;35.75923431;67.21255455;47.16138967;22.99544377;49.79483833;63.78481204
01/09/1999;57.72179647;64.48694182;30.34825299;30.31079477;24.55386089;59.22974942;46.40459083;48.86260792;46.85710322;45.6941532;37.1051706;88.7225792
01/10/1999;53.87392133;64.1780985;36.55544106;34.27002339;32.12859325;43.17957683;40.511728;40.27996751;38.92615855;15.69501954;45.31511942;69.65580703
01/11/1999;53.39345043;56.33389621;33.66419297;36.94774698;16.16486386;47.74713595;44.39317252;62.7282995;86.08757755;45.12364283;126.2109793;125.1640588
01/12/1999;71.88902868;115.68965;48.47824819;52.00566206;19.31542434;61.08041722;43.68451306;85.46808706;69.88850528;33.30249201;128.2025719;36.94980997
01/01/2000;56.99793717;47.46965155;57.20706806;60.58174678;38.5238713;84.33868433;67.45322473;96.27992271;73.91890602;16.60513502;71.91424718;122.8249592
01/02/2000;50.00945874;53.6419412;62.62095243;67.48270821;59.50008938;57.82142503;25.82831864;61.33441531;62.10722503;23.25293381;50.35241291;38.69942308
01/03/2000;62.83560172;49.18063888;45.94076661;51.49237197;11.46196026;37.70314486;51.69358806;31.93329888;81.57404231;40.72174223;88.17975384;45.18162293
01/04/2000;58.36208567;86.93387081;46.78709526;47.88025509;20.07272069;29.97439344;36.65135908;57.47650503;104.9691293;76.2661674;82.57421586;72.53048959
01/05/2000;73.3153766;95.2413444;48.27167287;54.55891037;20.31102731;38.68028387;40.43790071;72.96746541;68.7438521;46.9992523;245.009584;23.1762895
01/06/2000;66.55483195;88.45760827;36.06520291;39.2600489;22.54060283;40.7799693;42.63299502;75.35839846;110.2887754;22.02245203;35.7659255;73.30311051
01/07/2000;52.77493363;43.26377388;36.7689268;39.56069245;12.63923504;54.64233579;25.65140061;78.42943326;58.89755672;39.29129069;60.77301621;37.36672037
01/08/2000;46.9661086;55.60194959;25.86695157;26.00124252;22.46701072;69.68027665;32.50892101;44.70973998;57.83096987;26.13160906;22.63438377;0
01/09/2000;65.62060303;82.06733715;45.01865956;48.02977323;35.1705953;75.83642542;52.34454613;57.39187631;90.84267072;29.45323995;99.21129841;141.6089327
01/10/2000;66.71499726;70.28354685;60.73535063;67.60016104;49.08535763;89.31161579;56.0080252;112.137456;88.74832682;23.97850541;65.76986998;85.13488711
01/11/2000;137.9984526;227.2234245;94.58327215;102.8157307;56.85788892;176.3418142;93.18476118;166.8935692;115.4433761;49.5989924;143.2036614;99.05601111
01/12/2000;122.6100449;210.6738224;120.5777446;132.1313113;93.66245034;153.5920257;99.47478486;181.4623474;113.3786263;63.10992427;98.69861032;81.69207454
01/01/2001;119.4641449;166.2386451;114.5415328;128.2909163;69.41865192;183.9006943;69.95359178;163.1829759;123.3282352;42.38930917;91.79073987;117.5795582
01/02/2001;123.1918078;171.6383251;161.3443773;182.9052706;160.156963;164.423046;83.45438874;263.3826396;95.36250366;38.03220655;43.13873891;120.5643627
01/03/2001;123.0434836;133.9730227;153.5804933;171.7512286;148.6039962;148.5082399;31.94648278;190.4465929;73.86448956;48.39599016;31.43932159;10.73927224
01/04/2001;106.7144267;155.7892158;94.33056789;103.75738;46.7583776;74.61107029;39.08172901;90.62258951;94.73448241;79.44960366;82.43675067;308.5284773
01/05/2001;93.42091519;114.2696566;102.9708843;115.3043851;46.45520067;90.94311136;38.61513072;112.9029336;81.0635538;33.79906394;24.39641148;10.71450482
01/06/2001;69.22882532;61.84278681;61.81766661;68.27668056;22.26269391;67.95062084;36.81517972;67.93149053;76.07739444;25.8939661;48.59518053;22.98391667
01/07/2001;89.8005155;89.45618768;96.6503983;109.2353898;68.76267471;108.853446;46.63922282;154.157587;107.1428143;183.7007722;49.25015105;46.58739221
01/08/2001;78.81920847;90.24769949;80.43925712;89.20491981;54.05589126;81.75600901;31.03843063;107.372951;75.56849549;44.01107049;60.00530133;32.55413419
01/09/2001;234.0863859;407.9408833;198.5136842;190.5846931;192.7860536;128.2658121;537.9830646;247.2817581;209.9146414;452.2370384;148.0704334;51.72849825
01/10/2001;232.7485586;337.9183301;274.3934979;287.1886306;299.9644074;205.798981;474.0588508;315.2898755;124.5316107;84.36834645;99.35938784;19.70704027
01/11/2001;153.5015167;197.3381916;178.8659604;189.6484706;147.9025816;126.6084738;267.5605362;141.7277033;121.1606719;69.02994248;106.2961433;20.42404319
01/12/2001;125.3341067;96.78871963;122.1513286;128.8782547;79.05515799;96.86340782;193.0706917;150.9117525;120.9771412;81.05209853;130.7736411;31.73964529
01/01/2002;138.2144593;137.5605251;172.9288647;184.2452046;152.8557539;203.9955857;194.7502496;234.86815;110.5132374;54.3061786;91.46339247;100.4230644
01/02/2002;86.58543693;60.00462247;86.59818907;91.66290374;85.34041702;107.0611314;108.2222651;149.6020926;108.1325909;154.578413;33.81085718;31.18326827
01/03/2002;94.04332916;103.1453972;82.61024292;86.26842171;66.00561717;96.44257938;74.76884595;101.7542639;80.38077571;94.58286475;86.88985876;28.62045342
01/04/2002;73.65613195;57.9640629;72.4555881;81.04187315;53.72381675;56.49814595;77.54487699;74.83792728;57.83891703;58.82370406;22.8627429;0
01/05/2002;86.96267502;103.296837;76.24549085;82.87907964;65.22520362;60.96489611;64.82744757;67.21113585;60.78857014;78.56610785;66.16118959;0
01/06/2002;85.06624286;68.21598959;81.15568335;87.36114418;69.63524259;78.98907115;79.16824272;80.83561347;97.34795585;113.3908441;57.97449108;10.48412569
